!!			
!!  偵察戦力緊急展開！「光」作戦 (2017年 冬)			
!!			
あれっさんどろまらすぴーな	Alessandro Malaspina	固有一般	Guglielmo Marconi型潜水艦 5番艦
あれっさんどろまらすぴーな	アレッサンドロ・マラスピーナ	固有一般	Guglielmo Marconi型潜水艦 5番艦
まっじょーれふらんちぇすこばらっか	Maggiore Francesco Baracca	固有一般	Guglielmo Marconi型潜水艦 6番艦
まっじょーれふらんちぇすこばらっか	マッジョーレ・フランチェスコ・バラッカ	固有一般	Guglielmo Marconi型潜水艦 6番艦
あーくろいやる	Ark Royal	固有一般	Ark Royal型航空母艦 1番艦
あーくろいやる	アーク・ロイヤル	固有一般	Ark Royal型航空母艦 1番艦
!!			
!!  捷号決戦！邀撃、レイテ沖海戦(前篇) (2017年 秋)			
!!			
い４００	伊400	固有一般	伊四百型潜水艦 1番艦
い４０１	伊401	固有一般	伊四百型潜水艦 2番艦
い４０２	伊402	固有一般	伊四百型潜水艦 3番艦
!!			
!!  捷号決戦！邀撃、レイテ沖海戦(後篇) (2018年 冬)			
!!			
ひぶり	日振	固有一般	日振型海防艦 1番艦
だいとう	大東	固有一般	日振型海防艦 2番艦
しょうなん	昭南	固有一般	日振型海防艦 3番艦
くめ	久米	固有一般	日振型海防艦 4番艦
いくな	生名	固有一般	日振型海防艦 5番艦
さきと	崎戸	固有一般	日振型海防艦 6番艦
もくと	目斗	固有一般	日振型海防艦 7番艦
しさか	四阪	固有一般	日振型海防艦 8番艦
けいあん	恵安	固有一般	日振型海防艦 8番艦
ずいきん	瑞金	固有一般	日振型海防艦 8番艦
はぶと	波太	固有一般	日振型海防艦 9番艦
おおつ	大津	固有一般	日振型海防艦 10番艦
おほつ	大津	固有一般	日振型海防艦 10番艦
ともしり	友知	固有一般	日振型海防艦 11番艦
じゃーびす	Jervis	固有一般	J型駆逐艦 1番艦
じゃーびす	ジャービス	固有一般	J型駆逐艦 1番艦
じゃっかる	Jackal	固有一般	J型駆逐艦 2番艦
じゃっかる	ジャッカル	固有一般	J型駆逐艦 2番艦
じゃがー	Jaguar	固有一般	J型駆逐艦 3番艦
じゃがー	ジャガー	固有一般	J型駆逐艦 3番艦
じゅのー	Juno	固有一般	J型駆逐艦 4番艦
じゅのー	ジュノー	固有一般	J型駆逐艦 4番艦
じぇーなす	Janus	固有一般	J型駆逐艦 5番艦
じぇーなす	ジェーナス	固有一般	J型駆逐艦 5番艦
じゃべりん	Javelin	固有一般	J型駆逐艦 6番艦
じゃべりん	ジャベリン	固有一般	J型駆逐艦 6番艦
じゃーじー	Jersey	固有一般	J型駆逐艦 7番艦
じゃーじー	ジャージー	固有一般	J型駆逐艦 7番艦
じゅぴたー	Jupiter	固有一般	J型駆逐艦 8番艦
